date,station,boarding,alighting,total,day_of_week,is_weekend,is_holiday,month,year,covid_dummy
2018-01-01,강남,39504.0,38000.0,77504.0,0,0,1,1,2018,0
2018-01-01,신도림,28027.0,28561.0,56588.0,0,0,1,1,2018,0
2018-01-01,홍대입구,69038.0,59616.0,128654.0,0,0,1,1,2018,0
2018-01-01,잠실,54605.0,46889.0,101494.0,0,0,1,1,2018,0
2018-01-02,홍대입구,74893.0,78108.0,153001.0,1,0,0,1,2018,0
2018-01-02,강남,116810.0,116266.0,233076.0,1,0,0,1,2018,0
2018-01-02,신도림,59971.0,58710.0,118681.0,1,0,0,1,2018,0
2018-01-02,잠실,89667.0,85606.0,175273.0,1,0,0,1,2018,0
2018-01-03,신도림,62491.0,61595.0,124086.0,2,0,0,1,2018,0
2018-01-03,홍대입구,75243.0,78604.0,153847.0,2,0,0,1,2018,0
2018-01-03,강남,124526.0,122874.0,247400.0,2,0,0,1,2018,0
2018-01-03,잠실,92857.0,88492.0,181349.0,2,0,0,1,2018,0
2018-01-04,신도림,62408.0,61322.0,123730.0,3,0,0,1,2018,0
2018-01-04,홍대입구,75550.0,80150.0,155700.0,3,0,0,1,2018,0
2018-01-04,강남,124981.0,124246.0,249227.0,3,0,0,1,2018,0
2018-01-04,잠실,93962.0,89491.0,183453.0,3,0,0,1,2018,0
2018-01-05,신도림,66992.0,66494.0,133486.0,4,0,0,1,2018,0
2018-01-05,홍대입구,84326.0,96522.0,180848.0,4,0,0,1,2018,0
2018-01-05,잠실,99933.0,93534.0,193467.0,4,0,0,1,2018,0
2018-01-05,강남,133098.0,136675.0,269773.0,4,0,0,1,2018,0
2018-01-06,홍대입구,92152.0,105223.0,197375.0,5,1,0,1,2018,0
2018-01-06,강남,92108.0,97613.0,189721.0,5,1,0,1,2018,0
2018-01-06,신도림,58884.0,59786.0,118670.0,5,1,0,1,2018,0
2018-01-06,잠실,85174.0,79718.0,164892.0,5,1,0,1,2018,0
2018-01-07,강남,54210.0,53296.0,107506.0,6,1,0,1,2018,0
2018-01-07,잠실,62265.0,57370.0,119635.0,6,1,0,1,2018,0
2018-01-07,신도림,38954.0,38920.0,77874.0,6,1,0,1,2018,0
2018-01-07,홍대입구,69500.0,67135.0,136635.0,6,1,0,1,2018,0
2018-01-08,강남,121912.0,119403.0,241315.0,0,0,0,1,2018,0
2018-01-08,잠실,88076.0,83556.0,171632.0,0,0,0,1,2018,0
2018-01-08,신도림,61613.0,60316.0,121929.0,0,0,0,1,2018,0
2018-01-08,홍대입구,71282.0,73316.0,144598.0,0,0,0,1,2018,0
2018-01-09,잠실,91125.0,87213.0,178338.0,1,0,0,1,2018,0
2018-01-09,신도림,61697.0,60863.0,122560.0,1,0,0,1,2018,0
2018-01-09,강남,124696.0,122045.0,246741.0,1,0,0,1,2018,0
2018-01-09,홍대입구,72773.0,75867.0,148640.0,1,0,0,1,2018,0
2018-01-10,잠실,93671.0,88541.0,182212.0,2,0,0,1,2018,0
2018-01-10,신도림,63659.0,62896.0,126555.0,2,0,0,1,2018,0
2018-01-10,강남,127896.0,125919.0,253815.0,2,0,0,1,2018,0
