역,기간,평균,중앙값,표준편차,최솟값,최댓값,관측수
강남,전체,160589,172018,51738,24417,271959,3012
강남,Pre-COVID,201072,219715,52222,38368,271959,790
강남,Post-COVID,146196,166840,43244,24417,208524,2222
잠실,전체,149644,155209,31656,33181,268562,3012
잠실,Pre-COVID,170158,176888,28426,64738,268562,790
잠실,Post-COVID,142350,150527,29471,33181,258925,2222
신도림,전체,97914,101623,22873,23103,143653,3012
신도림,Pre-COVID,116670,125496,21374,36153,143653,790
신도림,Post-COVID,91246,98315,19426,23103,121746,2222
홍대입구,전체,139927,140882,32315,29671,238472,3012
홍대입구,Pre-COVID,164007,157916,26208,67605,238472,790
홍대입구,Post-COVID,131365,134086,29869,29671,219629,2222
